
(process:162150): pxbackend-WARNING **: 20:23:14.798: Could not query proxy: GDBus.Error:org.freedesktop.portal.Error.NotAllowed: This call is not available inside the sandbox
=======================================================
  GameControlPlus V1.2.2 created by
  Christian Riekoff and Peter Lager
=======================================================
Linux plugin claims to have found 13 controllers
[Controller] Connected via matched-silent: Microsoft X-Box 360 pad 0
=== Controller matched: Microsoft X-Box 360 pad 0 ===
  SLIDER: 'x'
  SLIDER: 'y'
  SLIDER: 'z'
  SLIDER: 'rx'
  SLIDER: 'ry'
  SLIDER: 'rz'
  BUTTON: 'A'
  BUTTON: 'B'
  BUTTON: 'X'
  BUTTON: 'Y'
  BUTTON: 'Left Thumb'
  BUTTON: 'Right Thumb'
  BUTTON: 'Select'
  BUTTON: 'Unknown'
  BUTTON: 'Mode'
  BUTTON: 'Left Thumb 3'
  BUTTON: 'Right Thumb 3'
  HAT: 'cooliehat: pov'
==== JavaSound Minim Error ====
==== Don't know the ID3 code WXXX

==== JavaSound Minim Error ====
==== Don't know the ID3 code WXXX

Successfully loaded the GPU Milkdrop Shader!
discoverSkyboxNames: found 26 skyboxes in /home/xdd/Documents/code/music-visualizer-4-friend/.build/Music_Visualizer_CK/../../media/skyboxes/
The file ".scene_prefs" is missing or inaccessible, make sure the URL is valid or that the file has been added to your sketch and is readable.
The file "../media/h3_emblem.jpg" is missing or inaccessible, make sure the URL is valid or that the file has been added to your sketch and is readable.
SCENE: 44 | CONTROLLER: true | FPS: 831
SCENE: 44 | CONTROLLER: true | FPS: 830
SCENE: 44 | CONTROLLER: true | FPS: 771
SCENE: 44 | CONTROLLER: true | FPS: 667
SCENE: 44 | CONTROLLER: true | FPS: 764
SCENE: 44 | CONTROLLER: true | FPS: 705
SCENE: 44 | CONTROLLER: true | FPS: 800
SCENE: 44 | CONTROLLER: true | FPS: 702
SCENE: 44 | CONTROLLER: true | FPS: 861
SCENE: 44 | CONTROLLER: true | FPS: 774
SCENE: 44 | CONTROLLER: true | FPS: 834
SCENE: 44 | CONTROLLER: true | FPS: 865
SCENE: 44 | CONTROLLER: true | FPS: 792
SCENE: 44 | CONTROLLER: true | FPS: 766
SCENE: 44 | CONTROLLER: true | FPS: 785
SCENE: 44 | CONTROLLER: true | FPS: 854
SCENE: 44 | CONTROLLER: true | FPS: 786
SCENE: 44 | CONTROLLER: true | FPS: 828
SCENE: 44 | CONTROLLER: true | FPS: 744
SCENE: 44 | CONTROLLER: true | FPS: 771
SCENE: 44 | CONTROLLER: true | FPS: 761
SCENE: 44 | CONTROLLER: true | FPS: 801
SCENE: 44 | CONTROLLER: true | FPS: 876
SCENE: 44 | CONTROLLER: true | FPS: 657
SCENE: 44 | CONTROLLER: true | FPS: 829
SCENE: 44 | CONTROLLER: true | FPS: 774
SCENE: 44 | CONTROLLER: true | FPS: 732
SCENE: 44 | CONTROLLER: true | FPS: 844
SCENE: 44 | CONTROLLER: true | FPS: 904
SCENE: 44 | CONTROLLER: true | FPS: 812
SCENE: 44 | CONTROLLER: true | FPS: 806
SCENE: 44 | CONTROLLER: true | FPS: 705
SCENE: 44 | CONTROLLER: true | FPS: 751
SCENE: 44 | CONTROLLER: true | FPS: 770
SCENE: 44 | CONTROLLER: true | FPS: 846
SCENE: 44 | CONTROLLER: true | FPS: 767
SCENE: 44 | CONTROLLER: true | FPS: 833
SCENE: 44 | CONTROLLER: true | FPS: 760
SCENE: 44 | CONTROLLER: true | FPS: 847
SCENE: 44 | CONTROLLER: true | FPS: 797
SCENE: 44 | CONTROLLER: true | FPS: 872
SCENE: 44 | CONTROLLER: true | FPS: 792
SCENE: 44 | CONTROLLER: true | FPS: 854
SCENE: 44 | CONTROLLER: true | FPS: 773
SCENE: 44 | CONTROLLER: true | FPS: 776
SCENE: 44 | CONTROLLER: true | FPS: 744
SCENE: 44 | CONTROLLER: true | FPS: 839
SCENE: 44 | CONTROLLER: true | FPS: 801
SCENE: 44 | CONTROLLER: true | FPS: 780
SCENE: 44 | CONTROLLER: true | FPS: 872
SCENE: 44 | CONTROLLER: true | FPS: 900
SCENE: 44 | CONTROLLER: true | FPS: 810
SCENE: 44 | CONTROLLER: true | FPS: 797
SCENE: 44 | CONTROLLER: true | FPS: 789
SCENE: 44 | CONTROLLER: true | FPS: 788
SCENE: 44 | CONTROLLER: true | FPS: 883
SCENE: 44 | CONTROLLER: true | FPS: 524
SCENE: 44 | CONTROLLER: true | FPS: 797
SCENE: 44 | CONTROLLER: true | FPS: 735
SCENE: 44 | CONTROLLER: true | FPS: 749
SCENE: 44 | CONTROLLER: true | FPS: 754
SCENE: 44 | CONTROLLER: true | FPS: 776
SCENE: 44 | CONTROLLER: true | FPS: 852
SCENE: 44 | CONTROLLER: true | FPS: 810
SCENE: 44 | CONTROLLER: true | FPS: 864
SCENE: 44 | CONTROLLER: true | FPS: 636
SCENE: 44 | CONTROLLER: true | FPS: 609
SCENE: 44 | CONTROLLER: true | FPS: 813
SCENE: 44 | CONTROLLER: true | FPS: 858
SCENE: 44 | CONTROLLER: true | FPS: 765
